n,r,m
"(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 12})","[:SEMANTIC_REL {predicate: man2 stands before sign2, source_label: man, edge_id: 48, describe: man stands before sign, edge_type: static-dynamic, valid_at: 0, target_label: sign}]","(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 5})"
"(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 12})","[:SEMANTIC_REL {predicate: man4 beside man2, source_label: man, edge_id: 131, describe: man man beside man player, edge_type: dynamic-dynamic, valid_at: 1, target_label: player}]","(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})"
"(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 12})","[:SEMANTIC_REL {predicate: man2 approach door1, source_label: man, edge_id: 49, describe: man approach door, invalid_at: 1, edge_type: static-dynamic, valid_at: 0, target_label: door}]","(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 1, life_value: 3, node_id: 11})"
"(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 12})","[:SEMANTIC_REL {predicate: man4 stands before door, source_label: man, edge_id: 132, describe: man stands before door, edge_type: static-dynamic, valid_at: 1, target_label: door}]","(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 1, life_value: 3, node_id: 11})"
"(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 12})","[:SEMANTIC_REL {predicate: door2 beside man2, source_label: man, edge_id: 47, describe: door beside man, edge_type: static-dynamic, valid_at: 0, target_label: door}]","(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 0, life_value: 3, node_id: 14})"
"(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 12})","[:SEMANTIC_REL {predicate: advertisement show man2, source_label: man, edge_id: 46, describe: advertisement show man, edge_type: static-dynamic, valid_at: 0, target_label: advertisement}]","(:EntityNode {entity_type: static, latest_label: advertisement, state: active, last_matched: 0, life_value: 3, node_id: 24})"
"(:EntityNode {entity_type: attached, latest_label: socks, state: active, last_matched: 1, life_value: 3, node_id: 13})","[:SEMANTIC_REL {predicate: socks1 worn by pants1, source_label: socks, edge_id: 147, describe: socks socks worn by pants shorts, edge_type: attached, valid_at: 1, target_label: shorts}]","(:EntityNode {entity_type: attached, latest_label: shorts, state: active, last_matched: 1, life_value: 3, node_id: 30})"
"(:EntityNode {entity_type: attached, latest_label: socks, state: active, last_matched: 1, life_value: 3, node_id: 13})","[:SEMANTIC_REL {predicate: pants1 paired with socks2, source_label: socks, edge_id: 148, describe: socks pants paired with socks shorts, edge_type: attached, valid_at: 1, target_label: shorts}]","(:EntityNode {entity_type: attached, latest_label: shorts, state: active, last_matched: 1, life_value: 3, node_id: 30})"
"(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 0, life_value: 3, node_id: 14})","[:SEMANTIC_REL {predicate: sign2 over door2, source_label: door, edge_id: 54, describe: sign over door, edge_type: static-static, valid_at: 0, target_label: sign}]","(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 5})"
"(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 0, life_value: 3, node_id: 14})","[:SEMANTIC_REL {predicate: door1 adjacent to door2, source_label: door, edge_id: 55, describe: door adjacent to door, edge_type: static-static, valid_at: 0, target_label: door}]","(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 1, life_value: 3, node_id: 11})"
"(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 0, life_value: 3, node_id: 14})","[:SEMANTIC_REL {predicate: door2 beside man2, source_label: door, edge_id: 56, describe: door beside man, edge_type: static-dynamic, valid_at: 0, target_label: man}]","(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 12})"
"(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 0, life_value: 3, node_id: 14})","[:SEMANTIC_REL {predicate: door2 and water bottle2 are adjacent, source_label: door, edge_id: 52, describe: door and water bottle are adjacent, edge_type: static-static, valid_at: 0, target_label: water bottle}]","(:EntityNode {entity_type: static, latest_label: water bottle, state: active, last_matched: 0, life_value: 3, node_id: 17})"
"(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 0, life_value: 3, node_id: 14})","[:SEMANTIC_REL {predicate: window2 beside door2, source_label: door, edge_id: 51, describe: window beside door, edge_type: attached, valid_at: 0, target_label: window}]","(:EntityNode {entity_type: attached, latest_label: window, state: active, last_matched: 1, life_value: 3, node_id: 19})"
"(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 0, life_value: 3, node_id: 14})","[:SEMANTIC_REL {predicate: door2 adjacent to advertisement, source_label: door, edge_id: 50, describe: door adjacent to advertisement, edge_type: static-static, valid_at: 0, target_label: advertisement}]","(:EntityNode {entity_type: static, latest_label: advertisement, state: active, last_matched: 0, life_value: 3, node_id: 24})"
"(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 0, life_value: 3, node_id: 14})","[:SEMANTIC_REL {predicate: door2 opens into staircase, source_label: door, edge_id: 53, describe: door door opens into staircase steps, edge_type: static-static, valid_at: 0, target_label: steps}]","(:EntityNode {entity_type: static, latest_label: steps, state: active, last_matched: 0, life_value: 3, node_id: 39})"
"(:EntityNode {entity_type: static, latest_label: banner, state: active, last_matched: 1, life_value: 3, node_id: 15})","[:SEMANTIC_REL {predicate: sign1 adjacent to banner, source_label: banner, edge_id: 62, describe: sign adjacent to banner, edge_type: static-static, valid_at: 0, target_label: sign}]","(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 1})"
"(:EntityNode {entity_type: static, latest_label: banner, state: active, last_matched: 1, life_value: 3, node_id: 15})","[:SEMANTIC_REL {predicate: poster1 below banner, source_label: banner, edge_id: 139, describe: banner poster below banner sign, edge_type: static-static, valid_at: 1, target_label: sign}]","(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 1})"
"(:EntityNode {entity_type: static, latest_label: banner, state: active, last_matched: 1, life_value: 3, node_id: 15})","[:SEMANTIC_REL {predicate: banner behind man1, source_label: banner, edge_id: 61, describe: banner behind man, edge_type: static-dynamic, valid_at: 0, target_label: man}]","(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 3})"
"(:EntityNode {entity_type: static, latest_label: banner, state: active, last_matched: 1, life_value: 3, node_id: 15})","[:SEMANTIC_REL {predicate: player1 stand near banner, source_label: banner, edge_id: 60, describe: player stand near banner, edge_type: static-dynamic, valid_at: 0, target_label: player}]","(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})"
"(:EntityNode {entity_type: static, latest_label: banner, state: active, last_matched: 1, life_value: 3, node_id: 15})","[:SEMANTIC_REL {predicate: man3 wear jersey with number from banner, source_label: banner, edge_id: 138, describe: banner man wear jersey with number from banner player, edge_type: static-dynamic, valid_at: 1, target_label: player}]","(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})"
"(:EntityNode {entity_type: static, latest_label: banner, state: active, last_matched: 1, life_value: 3, node_id: 15})","[:SEMANTIC_REL {predicate: banner below basketball hoop, source_label: banner, edge_id: 63, describe: banner below basketball hoop, edge_type: static-static, valid_at: 0, target_label: basketball hoop}]","(:EntityNode {entity_type: static, latest_label: basketball hoop, state: active, last_matched: 1, life_value: 3, node_id: 10})"
"(:EntityNode {entity_type: static, latest_label: banner, state: active, last_matched: 1, life_value: 3, node_id: 15})","[:SEMANTIC_REL {predicate: basketball hoop attached to backboard, source_label: banner, edge_id: 146, describe: banner basketball hoop attached to backboard basketball hoop, edge_type: static-static, valid_at: 1, target_label: basketball hoop}]","(:EntityNode {entity_type: static, latest_label: basketball hoop, state: active, last_matched: 1, life_value: 3, node_id: 10})"
"(:EntityNode {entity_type: static, latest_label: banner, state: active, last_matched: 1, life_value: 3, node_id: 15})","[:SEMANTIC_REL {predicate: banner above logo, source_label: banner, edge_id: 59, describe: banner above logo, edge_type: static-static, valid_at: 0, target_label: logo}]","(:EntityNode {entity_type: static, latest_label: logo, state: active, last_matched: 0, life_value: 3, node_id: 21})"
"(:EntityNode {entity_type: static, latest_label: banner, state: active, last_matched: 1, life_value: 3, node_id: 15})","[:SEMANTIC_REL {predicate: floor below banner, source_label: banner, edge_id: 57, describe: floor below banner, edge_type: static-static, valid_at: 0, target_label: floor}]","(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})"
"(:EntityNode {entity_type: static, latest_label: banner, state: active, last_matched: 1, life_value: 3, node_id: 15})","[:SEMANTIC_REL {predicate: banner behind court lines, source_label: banner, edge_id: 58, describe: banner banner behind court lines floor, edge_type: static-static, valid_at: 0, target_label: floor}]","(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})"
"(:EntityNode {entity_type: static, latest_label: water bottle, state: active, last_matched: 0, life_value: 3, node_id: 17})","[:SEMANTIC_REL {predicate: water bottle2 below sign2, source_label: water bottle, edge_id: 68, describe: water bottle below sign, edge_type: static-static, valid_at: 0, target_label: sign}]","(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 5})"
"(:EntityNode {entity_type: static, latest_label: water bottle, state: active, last_matched: 0, life_value: 3, node_id: 17})","[:SEMANTIC_REL {predicate: door2 and water bottle2 are adjacent, source_label: water bottle, edge_id: 67, describe: door and water bottle are adjacent, edge_type: static-static, valid_at: 0, target_label: door}]","(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 0, life_value: 3, node_id: 14})"
"(:EntityNode {entity_type: static, latest_label: water bottle, state: active, last_matched: 0, life_value: 3, node_id: 17})","[:SEMANTIC_REL {predicate: window2 reflects water bottle2, source_label: water bottle, edge_id: 65, describe: window reflects water bottle, edge_type: attached, valid_at: 0, target_label: window}]","(:EntityNode {entity_type: attached, latest_label: window, state: active, last_matched: 1, life_value: 3, node_id: 19})"
"(:EntityNode {entity_type: static, latest_label: water bottle, state: active, last_matched: 0, life_value: 3, node_id: 17})","[:SEMANTIC_REL {predicate: water bottle2 close to advertisement, source_label: water bottle, edge_id: 64, describe: water bottle close to advertisement, edge_type: static-static, valid_at: 0, target_label: advertisement}]","(:EntityNode {entity_type: static, latest_label: advertisement, state: active, last_matched: 0, life_value: 3, node_id: 24})"
"(:EntityNode {entity_type: static, latest_label: water bottle, state: active, last_matched: 0, life_value: 3, node_id: 17})","[:SEMANTIC_REL {predicate: label2 on water bottle2, source_label: water bottle, edge_id: 66, describe: label on water bottle, edge_type: static-static, valid_at: 0, target_label: water bottle}]","(:EntityNode {entity_type: static, latest_label: water bottle, state: active, last_matched: 0, life_value: 3, node_id: 17})"
"(:EntityNode {entity_type: attached, latest_label: window, state: active, last_matched: 1, life_value: 3, node_id: 19})","[:SEMANTIC_REL {predicate: water bottle1 reflected in window2, source_label: window, edge_id: 72, describe: water bottle reflected in window, edge_type: attached, valid_at: 0, target_label: water bottle}]","(:EntityNode {entity_type: static, latest_label: water bottle, state: active, last_matched: 0, life_value: 3, node_id: 2})"
"(:EntityNode {entity_type: attached, latest_label: window, state: active, last_matched: 1, life_value: 3, node_id: 19})","[:SEMANTIC_REL {predicate: sign2 adjacent to window2, source_label: window, edge_id: 73, describe: sign adjacent to window, edge_type: attached, valid_at: 0, target_label: sign}]","(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 5})"
"(:EntityNode {entity_type: attached, latest_label: window, state: active, last_matched: 1, life_value: 3, node_id: 19})","[:SEMANTIC_REL {predicate: door1 and window2 adjacent, source_label: window, edge_id: 71, describe: door and window adjacent, edge_type: attached, valid_at: 0, target_label: door}]","(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 1, life_value: 3, node_id: 11})"
"(:EntityNode {entity_type: attached, latest_label: window, state: active, last_matched: 1, life_value: 3, node_id: 19})","[:SEMANTIC_REL {predicate: window2 beside door2, source_label: window, edge_id: 70, describe: window beside door, edge_type: attached, valid_at: 0, target_label: door}]","(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 0, life_value: 3, node_id: 14})"
"(:EntityNode {entity_type: attached, latest_label: window, state: active, last_matched: 1, life_value: 3, node_id: 19})","[:SEMANTIC_REL {predicate: window2 reflects water bottle2, source_label: window, edge_id: 74, describe: window reflects water bottle, edge_type: attached, valid_at: 0, target_label: water bottle}]","(:EntityNode {entity_type: static, latest_label: water bottle, state: active, last_matched: 0, life_value: 3, node_id: 17})"
"(:EntityNode {entity_type: attached, latest_label: window, state: active, last_matched: 1, life_value: 3, node_id: 19})","[:SEMANTIC_REL {predicate: window2 adjacent to advertisement, source_label: window, edge_id: 69, describe: window adjacent to advertisement, edge_type: attached, valid_at: 0, target_label: advertisement}]","(:EntityNode {entity_type: static, latest_label: advertisement, state: active, last_matched: 0, life_value: 3, node_id: 24})"
"(:EntityNode {entity_type: static, latest_label: logo, state: active, last_matched: 0, life_value: 3, node_id: 21})","[:SEMANTIC_REL {predicate: logo associated with sign1, source_label: logo, edge_id: 80, describe: logo associated with sign, edge_type: static-static, valid_at: 0, target_label: sign}]","(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 1})"
"(:EntityNode {entity_type: static, latest_label: logo, state: active, last_matched: 0, life_value: 3, node_id: 21})","[:SEMANTIC_REL {predicate: logo behind man1, source_label: logo, edge_id: 78, describe: logo behind man, edge_type: static-dynamic, valid_at: 0, target_label: man}]","(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 3})"
"(:EntityNode {entity_type: static, latest_label: logo, state: active, last_matched: 0, life_value: 3, node_id: 21})","[:SEMANTIC_REL {predicate: logo on player1 jersey, source_label: logo, edge_id: 77, describe: logo on player jersey, edge_type: static-dynamic, valid_at: 0, target_label: player}]","(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})"
"(:EntityNode {entity_type: static, latest_label: logo, state: active, last_matched: 0, life_value: 3, node_id: 21})","[:SEMANTIC_REL {predicate: logo over basketball hoop, source_label: logo, edge_id: 81, describe: logo over basketball hoop, edge_type: static-static, valid_at: 0, target_label: basketball hoop}]","(:EntityNode {entity_type: static, latest_label: basketball hoop, state: active, last_matched: 1, life_value: 3, node_id: 10})"
"(:EntityNode {entity_type: static, latest_label: logo, state: active, last_matched: 0, life_value: 3, node_id: 21})","[:SEMANTIC_REL {predicate: banner above logo, source_label: logo, edge_id: 79, describe: banner above logo, edge_type: static-static, valid_at: 0, target_label: banner}]","(:EntityNode {entity_type: static, latest_label: banner, state: active, last_matched: 1, life_value: 3, node_id: 15})"
"(:EntityNode {entity_type: static, latest_label: logo, state: active, last_matched: 0, life_value: 3, node_id: 21})","[:SEMANTIC_REL {predicate: floor has logo, source_label: logo, edge_id: 75, describe: floor has logo, edge_type: static-static, valid_at: 0, target_label: floor}]","(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})"
"(:EntityNode {entity_type: static, latest_label: logo, state: active, last_matched: 0, life_value: 3, node_id: 21})","[:SEMANTIC_REL {predicate: logo associated with text, source_label: logo, edge_id: 76, describe: logo associated with text, edge_type: attached, valid_at: 0, target_label: text}]","(:EntityNode {entity_type: attached, latest_label: text, state: active, last_matched: 0, life_value: 3, node_id: 38})"
"(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})","[:SEMANTIC_REL {predicate: sign1 displaying score for floor, source_label: floor, edge_id: 83, describe: sign displaying score for floor, edge_type: static-static, valid_at: 0, target_label: sign}]","(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 1})"
"(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})","[:SEMANTIC_REL {predicate: floor below poster1, source_label: floor, edge_id: 143, describe: floor floor below poster sign, edge_type: static-static, valid_at: 1, target_label: sign}]","(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 1})"
"(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})","[:SEMANTIC_REL {predicate: sign1 over court lines, source_label: floor, edge_id: 102, describe: floor sign over court lines sign, edge_type: static-static, valid_at: 0, target_label: sign}]","(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 1})"
"(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})","[:SEMANTIC_REL {predicate: man1 wear shoes on floor, source_label: floor, edge_id: 87, describe: man wear shoes on floor, edge_type: static-dynamic, valid_at: 0, target_label: man}]","(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 3})"
"(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})","[:SEMANTIC_REL {predicate: man1 walk on floor, source_label: floor, edge_id: 142, describe: man walk on floor, edge_type: static-dynamic, valid_at: 1, target_label: man}]","(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 3})"
"(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})","[:SEMANTIC_REL {predicate: court lines beneath man1, source_label: floor, edge_id: 107, describe: floor court lines beneath man man, edge_type: static-dynamic, valid_at: 0, target_label: man}]","(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 3})"
"(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})","[:SEMANTIC_REL {predicate: floor beneath player1, source_label: floor, edge_id: 88, describe: floor beneath player, edge_type: static-dynamic, valid_at: 0, target_label: player}]","(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})"
"(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})","[:SEMANTIC_REL {predicate: player1 within court lines, source_label: floor, edge_id: 106, describe: floor player within court lines player, edge_type: static-dynamic, valid_at: 0, target_label: player}]","(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})"
"(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})","[:SEMANTIC_REL {predicate: floor below basketball hoop, source_label: floor, edge_id: 85, describe: floor below basketball hoop, edge_type: static-static, valid_at: 0, target_label: basketball hoop}]","(:EntityNode {entity_type: static, latest_label: basketball hoop, state: active, last_matched: 1, life_value: 3, node_id: 10})"
"(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})","[:SEMANTIC_REL {predicate: basketball hoop within boundaries of court lines, source_label: floor, edge_id: 104, describe: floor basketball hoop within boundaries of court lines basketball hoop, edge_type: static-static, valid_at: 0, target_label: basketball hoop}]","(:EntityNode {entity_type: static, latest_label: basketball hoop, state: active, last_matched: 1, life_value: 3, node_id: 10})"
"(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})","[:SEMANTIC_REL {predicate: floor below banner, source_label: floor, edge_id: 84, describe: floor below banner, edge_type: static-static, valid_at: 0, target_label: banner}]","(:EntityNode {entity_type: static, latest_label: banner, state: active, last_matched: 1, life_value: 3, node_id: 15})"
"(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})","[:SEMANTIC_REL {predicate: banner behind court lines, source_label: floor, edge_id: 103, describe: floor banner behind court lines banner, edge_type: static-static, valid_at: 0, target_label: banner}]","(:EntityNode {entity_type: static, latest_label: banner, state: active, last_matched: 1, life_value: 3, node_id: 15})"
"(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})","[:SEMANTIC_REL {predicate: floor has logo, source_label: floor, edge_id: 86, describe: floor has logo, edge_type: static-static, valid_at: 0, target_label: logo}]","(:EntityNode {entity_type: static, latest_label: logo, state: active, last_matched: 0, life_value: 3, node_id: 21})"
"(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})","[:SEMANTIC_REL {predicate: logo over court lines, source_label: floor, edge_id: 105, describe: floor logo over court lines logo, edge_type: static-static, valid_at: 0, target_label: logo}]","(:EntityNode {entity_type: static, latest_label: logo, state: active, last_matched: 0, life_value: 3, node_id: 21})"
"(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})","[:SEMANTIC_REL {predicate: floor has court lines, source_label: floor, edge_id: 82, describe: floor has court lines, edge_type: static-static, valid_at: 0, target_label: floor}]","(:EntityNode {entity_type: static, latest_label: floor, state: active, last_matched: 1, life_value: 3, node_id: 22})"
"(:EntityNode {entity_type: static, latest_label: advertisement, state: active, last_matched: 0, life_value: 3, node_id: 24})","[:SEMANTIC_REL {predicate: water bottle1 displayed in advertisement, source_label: advertisement, edge_id: 101, describe: water bottle displayed in advertisement, edge_type: static-static, valid_at: 0, target_label: water bottle}]","(:EntityNode {entity_type: static, latest_label: water bottle, state: active, last_matched: 0, life_value: 3, node_id: 2})"
"(:EntityNode {entity_type: static, latest_label: advertisement, state: active, last_matched: 0, life_value: 3, node_id: 24})","[:SEMANTIC_REL {predicate: advertisement beside sign2, source_label: advertisement, edge_id: 98, describe: advertisement beside sign, edge_type: static-static, valid_at: 0, target_label: sign}]","(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 5})"
"(:EntityNode {entity_type: static, latest_label: advertisement, state: active, last_matched: 0, life_value: 3, node_id: 24})","[:SEMANTIC_REL {predicate: advertisement is adjacent to door1, source_label: advertisement, edge_id: 97, describe: advertisement is adjacent to door, edge_type: static-static, valid_at: 0, target_label: door}]","(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 1, life_value: 3, node_id: 11})"
"(:EntityNode {entity_type: static, latest_label: advertisement, state: active, last_matched: 0, life_value: 3, node_id: 24})","[:SEMANTIC_REL {predicate: advertisement show man2, source_label: advertisement, edge_id: 96, describe: advertisement show man, edge_type: static-dynamic, valid_at: 0, target_label: man}]","(:EntityNode {entity_type: dynamic, latest_label: man, state: active, last_matched: 1, life_value: 4, node_id: 12})"
"(:EntityNode {entity_type: static, latest_label: advertisement, state: active, last_matched: 0, life_value: 3, node_id: 24})","[:SEMANTIC_REL {predicate: door2 adjacent to advertisement, source_label: advertisement, edge_id: 94, describe: door adjacent to advertisement, edge_type: static-static, valid_at: 0, target_label: door}]","(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 0, life_value: 3, node_id: 14})"
"(:EntityNode {entity_type: static, latest_label: advertisement, state: active, last_matched: 0, life_value: 3, node_id: 24})","[:SEMANTIC_REL {predicate: water bottle2 close to advertisement, source_label: advertisement, edge_id: 99, describe: water bottle close to advertisement, edge_type: static-static, valid_at: 0, target_label: water bottle}]","(:EntityNode {entity_type: static, latest_label: water bottle, state: active, last_matched: 0, life_value: 3, node_id: 17})"
"(:EntityNode {entity_type: static, latest_label: advertisement, state: active, last_matched: 0, life_value: 3, node_id: 24})","[:SEMANTIC_REL {predicate: window2 adjacent to advertisement, source_label: advertisement, edge_id: 100, describe: window adjacent to advertisement, edge_type: attached, valid_at: 0, target_label: window}]","(:EntityNode {entity_type: attached, latest_label: window, state: active, last_matched: 1, life_value: 3, node_id: 19})"
"(:EntityNode {entity_type: static, latest_label: advertisement, state: active, last_matched: 0, life_value: 3, node_id: 24})","[:SEMANTIC_REL {predicate: advertisement beside staircase, source_label: advertisement, edge_id: 95, describe: advertisement advertisement beside staircase steps, edge_type: static-static, valid_at: 0, target_label: steps}]","(:EntityNode {entity_type: static, latest_label: steps, state: active, last_matched: 0, life_value: 3, node_id: 39})"
"(:EntityNode {entity_type: static, latest_label: advertisement, state: active, last_matched: 0, life_value: 3, node_id: 24})","[:SEMANTIC_REL {predicate: advertisement features slogan, source_label: advertisement, edge_id: 93, describe: advertisement features slogan, edge_type: static-static, valid_at: 0, target_label: advertisement}]","(:EntityNode {entity_type: static, latest_label: advertisement, state: active, last_matched: 0, life_value: 3, node_id: 24})"
"(:EntityNode {entity_type: attached, latest_label: shorts, state: active, last_matched: 1, life_value: 3, node_id: 30})","[:SEMANTIC_REL {predicate: socks1 worn by pants1, source_label: shorts, edge_id: 144, describe: shorts socks worn by pants socks, invalid_at: 1, edge_type: attached, valid_at: 1, target_label: socks}]","(:EntityNode {entity_type: attached, latest_label: socks, state: active, last_matched: 1, life_value: 3, node_id: 13})"
"(:EntityNode {entity_type: attached, latest_label: shorts, state: active, last_matched: 1, life_value: 3, node_id: 30})","[:SEMANTIC_REL {predicate: pants1 paired with socks2, source_label: shorts, edge_id: 145, describe: shorts pants paired with socks socks, edge_type: attached, valid_at: 1, target_label: socks}]","(:EntityNode {entity_type: attached, latest_label: socks, state: active, last_matched: 1, life_value: 3, node_id: 13})"
"(:EntityNode {entity_type: attached, latest_label: text, state: active, last_matched: 0, life_value: 3, node_id: 38})","[:SEMANTIC_REL {predicate: logo associated with text, source_label: text, edge_id: 108, describe: logo associated with text, edge_type: attached, valid_at: 0, target_label: logo}]","(:EntityNode {entity_type: static, latest_label: logo, state: active, last_matched: 0, life_value: 3, node_id: 21})"
"(:EntityNode {entity_type: static, latest_label: steps, state: active, last_matched: 0, life_value: 3, node_id: 39})","[:SEMANTIC_REL {predicate: sign2 near staircase, source_label: steps, edge_id: 90, describe: steps sign near staircase sign, edge_type: static-static, valid_at: 0, target_label: sign}]","(:EntityNode {entity_type: static, latest_label: sign, state: active, last_matched: 1, life_value: 3, node_id: 5})"
"(:EntityNode {entity_type: static, latest_label: steps, state: active, last_matched: 0, life_value: 3, node_id: 39})","[:SEMANTIC_REL {predicate: player1 approaching staircase, source_label: steps, edge_id: 92, describe: steps player approaching staircase player, edge_type: static-dynamic, valid_at: 0, target_label: player}]","(:EntityNode {entity_type: dynamic, latest_label: player, state: active, last_matched: 1, life_value: 4, node_id: 6})"
"(:EntityNode {entity_type: static, latest_label: steps, state: active, last_matched: 0, life_value: 3, node_id: 39})","[:SEMANTIC_REL {predicate: door2 opens into staircase, source_label: steps, edge_id: 91, describe: steps door opens into staircase door, edge_type: static-static, valid_at: 0, target_label: door}]","(:EntityNode {entity_type: static, latest_label: door, state: active, last_matched: 0, life_value: 3, node_id: 14})"
"(:EntityNode {entity_type: static, latest_label: steps, state: active, last_matched: 0, life_value: 3, node_id: 39})","[:SEMANTIC_REL {predicate: advertisement beside staircase, source_label: steps, edge_id: 89, describe: steps advertisement beside staircase advertisement, edge_type: static-static, valid_at: 0, target_label: advertisement}]","(:EntityNode {entity_type: static, latest_label: advertisement, state: active, last_matched: 0, life_value: 3, node_id: 24})"
